#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 09 20 50 326 12.6 15.8  3.97 10.00  7.34 288 1005.0  12.7  13.8 999.0 99.0 99.00
2018 01 09 21 50 326 12.8 16.0  4.56 10.81  7.64 289 1005.8  13.2  13.8 999.0 99.0 99.00
2018 01 09 22 50 325 13.6 17.0  4.83 11.43  8.07 300 1007.1  13.2  13.7 999.0 99.0 99.00
2018 01 09 23 50 320 13.1 16.4  5.35 10.81  8.27 291 1008.2  13.3  13.5 999.0 99.0 99.00
2018 01 10 00 50 319 12.8 15.4  5.20 11.43  8.30 296 1009.5  12.8  13.5 999.0 99.0 99.00
2018 01 10 01 50 315 12.6 15.5  4.87 11.43  8.14 299 1010.6  13.0  13.4 999.0 99.0 99.00
2018 01 10 02 50 317 12.9 15.6  5.64 12.12  8.63 301 1010.9  13.0  13.4 999.0 99.0 99.00
2018 01 10 03 50 317 13.4 17.4  6.28 12.12  8.91 302 1012.1  13.0  13.4 999.0 99.0 99.00
2018 01 10 04 50 315 14.4 17.7  5.98 11.43  8.69 299 1012.7  13.0  13.5 999.0 99.0 99.00
2018 01 10 05 50 317 12.6 15.4  5.49 11.43  8.56 305 1013.8  12.9  13.4 999.0 99.0 99.00
2018 01 10 06 50 320 11.1 14.6  5.17 12.12  8.30 304 1014.9  12.9  13.4 999.0 99.0 99.00
2018 01 10 07 50 325 11.8 14.5  5.44 11.43  8.33 311 1015.5  12.8  13.4 999.0 99.0 99.00
2018 01 10 08 50 315 11.4 13.9  4.81 10.81  8.01 308 1015.9  12.9  13.4 999.0 99.0 99.00
